FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_BUILTIN_SPEAKER_SAFE')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_BUS')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_DOCK')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_ECHO_REFERENCE')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_FM')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_FM_TUNER')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_HDMI')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_HDMI_ARC')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_HDMI_EARC')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_HEARING_AID')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_IP')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_LINE_ANALOG')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_LINE_DIGITAL')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_REMOTE_SUBMIX')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_TELEPHONY')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_TV_TUNER')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_UNKNOWN')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_USB_ACCESSORY')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_USB_DEVICE')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_USB_HEADSET')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_WIRED_HEADPHONES')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_WIRED_HEADSET')
FieldSub(class_name='android.media.audio.Enums', name='HEAD_TRACKING_MODE_DISABLED')
FieldSub(class_name='android.media.audio.Enums', name='HEAD_TRACKING_MODE_OTHER')
FieldSub(class_name='android.media.audio.Enums', name='HEAD_TRACKING_MODE_RELATIVE_SCREEN')
FieldSub(class_name='android.media.audio.Enums', name='HEAD_TRACKING_MODE_RELATIVE_WORLD')
FieldSub(class_name='android.media.audio.Enums', name='SPATIALIZER_LEVEL_MCHAN_BED_PLUS_OBJECTS')
FieldSub(class_name='android.media.audio.Enums', name='SPATIALIZER_LEVEL_MULTICHANNEL')
FieldSub(class_name='android.media.audio.Enums', name='SPATIALIZER_LEVEL_NONE')
FieldSub(class_name='android.media.audio.Enums', name='SPATIALIZER_MODE_BINAURAL')
FieldSub(class_name='android.media.audio.Enums', name='SPATIALIZER_MODE_TRANSAURAL')
FieldSub(class_name='android.media.audio.Enums', name='SPATIALIZER_SETTING_EVENT_BOOT')
FieldSub(class_name='android.media.audio.Enums', name='SPATIALIZER_SETTING_EVENT_FIRST')
FieldSub(class_name='android.media.audio.Enums', name='SPATIALIZER_SETTING_EVENT_NORMAL')
FieldSub(class_name='android.net.QosCallbackException', name='EX_TYPE_FILTER_SOCKET_NOT_CONNECTED')
FieldSub(class_name='android.net.QosCallbackException', name='EX_TYPE_FILTER_SOCKET_REMOTE_ADDRESS_CHANGED')
FieldSub(class_name='android.net.connectivity.com.android.net.module.util.NetworkStackConstants', name='TEST_CAPTIVE_PORTAL_HTTPS_URL')
FieldSub(class_name='android.net.connectivity.com.android.net.module.util.NetworkStackConstants', name='TEST_CAPTIVE_PORTAL_HTTP_URL')
FieldSub(class_name='android.net.connectivity.com.android.net.module.util.NetworkStackConstants', name='TEST_URL_EXPIRATION_TIME')
