FieldSub(class_name='android.ddm.DdmHandleViewDebug', name='SIG_DOUBLE')
FieldSub(class_name='android.ddm.DdmHandleViewDebug', name='SIG_FLOAT')
FieldSub(class_name='android.ddm.DdmHandleViewDebug', name='SIG_INT')
FieldSub(class_name='android.ddm.DdmHandleViewDebug', name='SIG_LONG')
FieldSub(class_name='android.ddm.DdmHandleViewDebug', name='SIG_SHORT')
FieldSub(class_name='android.ddm.DdmHandleViewDebug', name='SIG_STRING')
FieldSub(class_name='android.ddm.DdmHandleViewDebug', name='SIG_VOID')
FieldSub(class_name='android.graphics.ImageDecoder$ByteBufferSource', name='mLength')
FieldSub(class_name='android.hardware.biometrics.BiometricConstants', name='BIOMETRIC_ERROR_POWER_PRESSED')
FieldSub(class_name='android.hardware.biometrics.BiometricFaceConstants', name='BIOMETRIC_ERROR_POWER_PRESSED')
FieldSub(class_name='android.hardware.biometrics.BiometricFingerprintConstants', name='BIOMETRIC_ERROR_POWER_PRESSED')
FieldSub(class_name='android.hardware.biometrics.BiometricFingerprintConstants', name='FINGERPRINT_ACQUIRED_POWER_PRESSED')
FieldSub(class_name='android.hardware.biometrics.BiometricStateListener', name='ACTION_SENSOR_TOUCH')
FieldSub(class_name='android.hardware.biometrics.IBiometricStateListener$Stub', name='TRANSACTION_onBiometricAction')
FieldSub(class_name='android.hardware.camera2.CameraCharacteristics', name='SENSOR_READOUT_TIMESTAMP')
FieldSub(class_name='android.hardware.camera2.CameraMetadata', name='SENSOR_READOUT_TIMESTAMP_HARDWARE')
FieldSub(class_name='android.hardware.camera2.CameraMetadata', name='SENSOR_READOUT_TIMESTAMP_NOT_SUPPORTED')
FieldSub(class_name='android.hardware.camera2.impl.CaptureResultExtras', name='hasReadoutTimestamp')
FieldSub(class_name='android.hardware.camera2.impl.CaptureResultExtras', name='readoutTimestamp')
FieldSub(class_name='android.hardware.camera2.params.OutputConfiguration', name='TIMESTAMP_BASE_READOUT_SENSOR')
FieldSub(class_name='android.hardware.devicestate.IDeviceStateManager$Stub', name='TRANSACTION_cancelBaseStateOverride')
FieldSub(class_name='android.hardware.devicestate.IDeviceStateManager$Stub', name='TRANSACTION_requestBaseStateOverride')
FieldSub(class_name='android.hardware.display.DisplayManager$DeviceConfig', name='KEY_BRIGHTNESS_THROTTLING_DATA')
FieldSub(class_name='android.hardware.fingerprint.FingerprintManager', name='MSG_POWER_BUTTON_PRESSED')
FieldSub(class_name='android.hardware.fingerprint.IFingerprintService$Stub', name='TRANSACTION_onPowerPressed')
FieldSub(class_name='android.location.ILocationManager$Stub', name='TRANSACTION_getAdasAllowlist')
FieldSub(class_name='android.media.AudioDeviceVolumeManager', name='mAttributionTag')
FieldSub(class_name='android.media.AudioSystem', name='AUDIO_FORMAT_OPUS')
FieldSub(class_name='android.media.AudioSystem', name='SOURCE_CODEC_TYPE_OPUS')
FieldSub(class_name='android.media.IAudioService$Stub', name='TRANSACTION_setDeviceVolume')
FieldSub(class_name='android.media.MediaCodec', name='mValidInputIndices')
FieldSub(class_name='android.media.MediaCodec', name='mValidOutputIndices')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_AUX_LINE')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_BLE_BROADCAST')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_BLE_HEADSET')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_BLE_SPEAKER')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_BLUETOOTH_A2DP')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_BLUETOOTH_SCO')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_BUILTIN_EARPIECE')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_BUILTIN_MIC')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_BUILTIN_SPEAKER')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_BUILTIN_SPEAKER_SAFE')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_BUS')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_DOCK')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_ECHO_REFERENCE')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_FM')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_FM_TUNER')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_HDMI')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_HDMI_ARC')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_HDMI_EARC')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_HEARING_AID')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_IP')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_LINE_ANALOG')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_LINE_DIGITAL')
