FieldSub(class_name='com.android.internal.util.FrameworkStatsLog', name='BLOB_LEASED__RESULT__SUCCESS')
FieldSub(class_name='com.android.internal.util.FrameworkStatsLog', name='BLOB_LEASED__RESULT__UNKNOWN')
FieldSub(class_name='com.android.internal.util.FrameworkStatsLog', name='BLOB_OPENED')
FieldSub(class_name='com.android.internal.util.FrameworkStatsLog', name='BLOB_OPENED__RESULT__ACCESS_NOT_ALLOWED')
FieldSub(class_name='com.android.internal.util.FrameworkStatsLog', name='BLOB_OPENED__RESULT__BLOB_DNE')
FieldSub(class_name='com.android.internal.util.FrameworkStatsLog', name='BLOB_OPENED__RESULT__SUCCESS')
FieldSub(class_name='com.android.internal.util.FrameworkStatsLog', name='BLOB_OPENED__RESULT__UNKNOWN')
FieldSub(class_name='com.android.internal.util.FrameworkStatsLog', name='FOREGROUND_SERVICE_APP_OP_SESSION_ENDED__APP_OP_NAME__APP_OP_NO_ISOLATED_STORAGE')
FieldSub(class_name='com.android.internal.util.FrameworkStatsLog', name='NOTIFICATION_CHANNEL_MODIFIED__IMPORTANCE__IMPORTANCE_IMPORTANT_CONVERSATION')
FieldSub(class_name='com.android.internal.util.FrameworkStatsLog', name='NOTIFICATION_CHANNEL_MODIFIED__OLD_IMPORTANCE__IMPORTANCE_IMPORTANT_CONVERSATION')
FieldSub(class_name='com.android.internal.util.FrameworkStatsLog', name='NOTIFICATION_REPORTED__IMPORTANCE_ASST__IMPORTANCE_IMPORTANT_CONVERSATION')
FieldSub(class_name='com.android.internal.util.FrameworkStatsLog', name='NOTIFICATION_REPORTED__IMPORTANCE_INITIAL__IMPORTANCE_IMPORTANT_CONVERSATION')
FieldSub(class_name='com.android.internal.util.FrameworkStatsLog', name='NOTIFICATION_REPORTED__IMPORTANCE__IMPORTANCE_IMPORTANT_CONVERSATION')
FieldSub(class_name='com.android.internal.util.FrameworkStatsLog', name='RUNTIME_APP_OP_ACCESS__OP__APP_OP_NO_ISOLATED_STORAGE')
FieldSub(class_name='com.android.internal.util.FrameworkStatsLog', name='RUNTIME_APP_OP_ACCESS__SAMPLING_STRATEGY__UNIFORM_OPS')
FieldSub(class_name='com.android.server.job.ConstantsProto', name='API_QUOTA_SCHEDULE_RETURN_FAILURE_RESULT')
FieldSub(class_name='libcore.icu.LocaleData', name='USE_REAL_ROOT_LOCALE')
